 time, var_acx, var_acy, var_acz, pitch, var_roll, vra_yaw 
 16.300000, 0.003165, 0.000916, 0.000017, 0.000188, 0.001109, 0.002511 
 16.350000, 0.003068, 0.000908, 0.000018, 0.000181, 0.001061, 0.002463 
 16.400000, 0.002992, 0.000910, 0.000020, 0.000127, 0.001016, 0.002433 
 16.450000, 0.002992, 0.000909, 0.000018, 0.000129, 0.001011, 0.002278 
 16.500000, 0.002925, 0.000912, 0.000017, 0.000132, 0.000998, 0.002279 
 16.550000, 0.002320, 0.000844, 0.000017, 0.000127, 0.000891, 0.002188 
 16.600000, 0.001523, 0.000740, 0.000016, 0.000113, 0.000887, 0.000597 
 16.650000, 0.001530, 0.000738, 0.000016, 0.000070, 0.000912, 0.000538 
 16.700000, 0.001535, 0.000744, 0.000013, 0.000072, 0.000903, 0.000535 
 16.750000, 0.001534, 0.000747, 0.000013, 0.000053, 0.000886, 0.000533 
 16.800000, 0.000002, 0.000003, 0.000014, 0.000053, 0.000098, 0.000030 
 16.850000, 0.000002, 0.000003, 0.000016, 0.000031, 0.000056, 0.000034 
 16.900000, 0.000001, 0.000003, 0.000016, 0.000031, 0.000058, 0.000035 
 16.950000, 0.000001, 0.000003, 0.000014, 0.000025, 0.000058, 0.000035 
 17.000000, 0.000001, 0.000003, 0.000014, 0.000027, 0.000055, 0.000035 
 17.050000, 0.000002, 0.000003, 0.000011, 0.000028, 0.000055, 0.000034 
 17.100000, 0.000002, 0.000002, 0.000010, 0.000028, 0.000054, 0.000032 
 17.150000, 0.000002, 0.000002, 0.000008, 0.000030, 0.000047, 0.000030 
 17.200000, 0.000002, 0.000002, 0.000008, 0.000029, 0.000043, 0.000036 
 17.250000, 0.000002, 0.000002, 0.000009, 0.000029, 0.000043, 0.000034 
 17.300000, 0.000002, 0.000002, 0.000008, 0.000031, 0.000043, 0.000036 
 17.350000, 0.000002, 0.000002, 0.000008, 0.000027, 0.000042, 0.000025 
 17.400000, 0.000003, 0.000002, 0.000009, 0.000022, 0.000031, 0.000028 
 17.450000, 0.000003, 0.000002, 0.000009, 0.000017, 0.000030, 0.000032 
 17.500000, 0.000004, 0.000001, 0.000010, 0.000019, 0.000027, 0.000031 
